dt,switch,src,dst,pktCount,byteCount,duration,duration_nsec,total_duration,flows,pktrate,pairflow,protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label,packetins,byteperflow,packetperflow
36,4,10.0.0.154,10.0.0.40,425,40314,194,4562,897,1,5.752086124379577,5,ICMP,26296,40785,11541,6.175592566063224,42.76610867061446,34.19051897143218,1,1,344,8
37,6,10.0.0.56,10.0.0.164,455,45622,216,339,109,5,84.16089828783441,4,UDP,35222,43614,19570,33.95401620143195,23.685536948617944,71.79041895254902,1,4,80,17
38,9,10.0.0.205,10.0.0.99,270,40941,51,1719,466,9,85.89800269962386,4,ICMP,19728,34602,32373,3.968777122116202,44.04922811072532,64.86443895017145,0,6,64,4
39,2,10.0.0.146,10.0.0.49,342,8200,395,3952,130,10,98.86332695248129,1,TCP,10659,26810,8058,24.984062646191063,30.756869881302762,22.693804761792876,0,7,189,18
40,5,10.0.0.178,10.0.0.1,52,29625,286,3042,719,3,93.04878358757169,4,TCP,25609,2478,30424,11.803773662015454,37.63180578851356,87.71997367126669,1,0,647,16
41,7,10.0.0.127,10.0.0.151,69,43334,278,740,990,5,81.79230413990986,4,TCP,59785,19928,35605,23.111708377005073,21.89813375383359,12.888887355634605,0,3,396,11
42,3,10.0.0.18,10.0.0.164,11,11006,125,2086,672,1,72.17055419499935,5,TCP,8735,45193,28349,38.969805572438226,45.17652570625682,38.289801737563025,1,5,741,15
43,8,10.0.0.122,10.0.0.115,461,11421,69,2552,615,2,1.6678955145464913,4,UDP,49239,20497,2411,26.8230049199767,7.823935045071345,22.67574562533791,1,9,177,19
44,9,10.0.0.77,10.0.0.13,211,7185,412,3753,234,9,42.84135224889147,4,UDP,6998,25975,27707,46.0194863522107,24.566218367507165,41.05431117501883,0,5,630,9
45,3,10.0.0.251,10.0.0.161,170,25217,261,4969,622,8,97.66388701337394,2,TCP,57171,15653,13197,25.549442275686857,41.30453870531065,63.55715216723236,0,7,931,6
46,4,10.0.0.203,10.0.0.250,220,5786,323,4132,742,10,13.35767428867975,3,TCP,45485,44531,13438,45.4852459725956,45.433945304642194,2.5753787875845537,1,7,902,17
47,9,10.0.0.187,10.0.0.130,423,17568,281,4907,285,8,97.7575583707795,3,ICMP,37709,26389,17115,20.75561744708376,46.69374227289116,24.020942963822627,1,0,803,17
48,6,10.0.0.41,10.0.0.37,348,2950,198,408,770,1,9.846834513125653,4,TCP,29468,21334,7923,13.277840210146078,48.30777538591685,39.83503321006796,1,6,759,14
49,7,10.0.0.27,10.0.0.73,131,47577,428,2898,885,7,22.002833989933087,5,UDP,16574,49421,14768,49.75365547925515,15.985166731149553,97.1704806199998,1,1,90,8
50,1,10.0.0.28,10.0.0.183,231,45326,415,1221,111,7,92.30063260050342,1,UDP,39084,36066,15613,9.198420435810075,28.724154871799435,27.46135228372664,0,1,366,7
51,9,10.0.0.89,10.0.0.78,185,41453,395,1911,776,2,29.536777578510858,4,UDP,46029,11117,6487,8.826477377556873,8.448994274719173,62.10707459020003,1,2,500,10
52,8,10.0.0.134,10.0.0.10,309,34446,287,517,389,9,87.73279841168818,3,ICMP,65131,41976,31343,23.91966854082363,4.67491759054643,70.08840887063941,0,6,940,7
53,10,10.0.0.42,10.0.0.235,224,20133,59,4465,320,5,89.5699815493744,5,TCP,33383,2766,17797,7.465267140060483,2.8585352889686595,52.94070608118891,1,10,525,18
54,4,10.0.0.105,10.0.0.43,251,33296,499,3380,183,10,91.26208618047997,1,TCP,27976,25474,9970,2.108354718266975,49.327848311927795,53.816504141576836,1,10,998,5
55,4,10.0.0.94,10.0.0.236,238,3435,212,1449,561,7,98.32857498693745,4,TCP,38523,12649,9710,25.712775575429532,38.53820943147914,13.680459383824095,0,7,945,13
56,3,10.0.0.157,10.0.0.127,61,30620,318,2870,101,9,39.901881212878116,1,ICMP,5046,41111,41951,5.700557004360893,45.753899885395285,4.2064410180321925,1,0,677,17
57,7,10.0.0.252,10.0.0.3,158,44550,301,1503,716,3,18.103563927468254,5,ICMP,21791,41853,13217,12.44071078454229,11.805285193166373,49.020500213156964,1,10,170,2
58,3,10.0.0.46,10.0.0.106,434,33977,493,3671,454,4,60.11774774062877,5,TCP,50086,34952,38826,30.60509139344715,39.54755413568437,33.18508195210868,0,1,388,13
59,9,10.0.0.152,10.0.0.54,26,24909,472,2407,562,8,80.74612046087839,3,TCP,37645,32283,29167,38.51163980199413,7.299893376622135,95.89295134843994,1,5,907,11
60,4,10.0.0.104,10.0.0.250,76,34964,173,3259,672,6,22.53418997189459,4,UDP,14138,32611,15624,10.078820209443702,8.170416846425645,73.75588270053098,1,5,120,16
61,1,10.0.0.193,10.0.0.147,202,28553,108,3335,370,4,95.55510608938516,5,UDP,6771,35791,29599,5.339987861615191,2.2712769956676877,39.302363913353375,0,0,597,6
62,4,10.0.0.148,10.0.0.24,110,3849,489,2211,183,6,14.455226379445524,2,UDP,57941,1765,40155,9.620188356743936,36.63264321194891,32.260042426522034,0,0,273,11
63,7,10.0.0.130,10.0.0.230,139,25991,402,1497,132,7,33.54565283783703,2,ICMP,41577,16807,45073,7.62561526192036,12.526430489107849,57.10069054952197,0,8,375,7
64,6,10.0.0.57,10.0.0.153,405,20275,193,1182,310,10,50.49600867192596,2,TCP,29201,22645,17795,28.90139180592615,41.50824189038429,99.32545255969953,1,10,959,19
65,2,10.0.0.159,10.0.0.144,232,42972,107,1072,707,5,87.76064870805351,3,TCP,8330,36412,19605,12.506018979757659,33.518738421423194,15.344539424688396,0,2,842,4
66,8,10.0.0.252,10.0.0.236,97,38806,264,1427,882,9,60.577337236111916,1,UDP,48841,14265,35390,19.956426808966718,10.268738523984634,64.56722010089521,0,0,972,7
67,7,10.0.0.145,10.0.0.3,289,47399,80,4704,179,8,42.18599151547866,1,UDP,16992,4115,34900,4.060456205806718,27.986189974599796,87.92495373105858,0,3,319,3
68,9,10.0.0.220,10.0.0.58,339,47474,483,1467,789,9,83.62388231756998,1,UDP,24206,32467,11705,37.56732929409426,6.694382255408678,20.545568701848165,0,3,556,9
69,1,10.0.0.151,10.0.0.94,83,36389,87,2854,975,5,65.98789070974037,1,TCP,3166,25709,21428,11.249205698557782,26.802105978126985,43.124903026282205,0,6,716,1
70,4,10.0.0.40,10.0.0.189,407,42548,420,108,974,6,74.35635153130875,2,TCP,15920,43199,20001,18.838570989333938,44.878183066890855,22.336135549775214,1,8,295,11
71,7,10.0.0.22,10.0.0.42,374,32329,495,3996,380,8,32.04465727265585,2,UDP,65186,49926,18265,25.41674018812331,2.443251056161087,33.33902710447579,1,4,910,18
72,5,10.0.0.7,10.0.0.124,234,23901,235,4026,628,10,53.1687417384652,5,TCP,30337,25197,45352,37.74587324657611,14.689080433931299,24.394812141395935,1,4,485,12
73,5,10.0.0.174,10.0.0.232,204,23684,354,2219,917,10,17.258071182857584,2,ICMP,33461,37191,3404,20.00703810069828,46.371669324715214,17.835608774735295,1,7,672,19
74,3,10.0.0.214,10.0.0.171,299,45491,335,1603,656,8,41.697632040297876,3,ICMP,60085,32088,41946,10.896968950795737,16.335644999890263,86.61276355262437,0,8,459,9
75,3,10.0.0.5,10.0.0.177,172,8187,400,3559,967,5,82.37344553308267,5,ICMP,62203,35901,24055,32.986684698885306,18.90651828326714,21.70910455227566,0,7,487,5
76,5,10.0.0.229,10.0.0.55,258,45707,426,1134,346,7,97.59266417980962,2,TCP,18559,10722,21630,39.87337603418219,14.140734881866104,38.2305611744216,0,4,80,20
77,1,10.0.0.170,10.0.0.51,199,34158,489,663,449,1,62.59143505555052,1,TCP,64602,9860,44607,15.44823461029458,13.441824031940246,17.03106859299256,0,2,591,11
78,9,10.0.0.186,10.0.0.82,266,48362,257,1390,689,9,86.16999944196093,3,UDP,45723,39902,8442,38.281663093889684,22.716271552552925,21.774522679327713,1,1,282,8
79,1,10.0.0.13,10.0.0.120,224,27013,414,2012,758,10,31.792074396341928,3,ICMP,11680,32711,28329,25.25611173082171,30.789124880206135,77.96114199868252,1,10,910,15
80,5,10.0.0.41,10.0.0.147,89,22975,153,3764,699,4,18.24329512323169,3,ICMP,35199,45229,48315,23.629860110914166,41.80858080066366,38.79970266360844,1,3,606,9
81,6,10.0.0.140,10.0.0.170,437,4847,280,3526,691,8,23.14311248787191,5,UDP,45294,5585,6276,19.58985217966764,19.42150507075678,72.80440243293327,0,8,437,15
82,9,10.0.0.206,10.0.0.159,232,20261,322,2774,507,7,26.924553721105198,1,TCP,37859,18180,33444,25.978804386905438,18.134495239199886,90.28458891836318,1,10,393,13
83,7,10.0.0.58,10.0.0.50,200,24442,62,853,339,2,95.32725040139934,3,UDP,15736,48004,29313,42.836485026693445,7.891153769117741,38.66390388028511,1,4,504,10
84,5,10.0.0.73,10.0.0.186,308,48428,144,1138,697,5,29.076468604368486,3,UDP,13421,4662,27308,28.667982724167057,29.327239346656015,46.695190384644334,1,2,275,2
85,4,10.0.0.254,10.0.0.253,317,34121,289,3834,285,7,31.76282906127749,2,TCP,33466,18663,2641,36.02983670987031,16.18159407450114,76.82207974463809,0,2,423,9
86,10,10.0.0.34,10.0.0.229,121,15865,393,101,911,1,25.621807389094574,4,TCP,6942,45800,30594,44.34097165907975,22.3317378857042,89.77191709069264,1,5,481,2
87,9,10.0.0.109,10.0.0.164,353,13050,201,3738,489,2,82.90830817452884,4,TCP,52260,46612,43389,14.912621276805742,44.52403669831546,2.104320023661256,1,0,567,10
88,10,10.0.0.183,10.0.0.233,259,33857,308,618,891,6,25.883336479593577,2,TCP,24799,17618,25805,45.64700118471845,27.420771669249422,25.05690500346776,1,9,928,15
89,3,10.0.0.136,10.0.0.220,261,22946,64,2299,897,9,41.24836158944092,2,UDP,46298,23814,6440,22.64358210338996,16.18795873528942,14.814246563522193,1,3,873,19
90,7,10.0.0.208,10.0.0.24,56,11750,58,909,358,9,78.15372519043945,4,ICMP,50436,5351,27658,32.782035475352444,7.047443128319802,24.68503008472417,0,4,264,17
91,1,10.0.0.48,10.0.0.89,242,41329,200,3594,430,2,69.47079868660192,3,ICMP,25645,27442,4042,16.01461373566195,19.33309865313745,12.706926520965533,0,1,965,2
92,4,10.0.0.248,10.0.0.169,175,7376,231,2454,776,10,5.881438261908158,1,UDP,6261,20317,33028,16.07186582301197,15.012302289564783,94.55227709754878,0,0,883,5
93,1,10.0.0.143,10.0.0.57,414,23624,222,844,445,7,65.87121912096643,4,UDP,20814,5784,6389,48.39394703185264,35.92109817690505,65.99504999371399,0,1,866,15
94,9,10.0.0.87,10.0.0.232,244,29596,160,2822,945,6,82.19282739195638,4,ICMP,27107,5828,21718,11.706817129235045,3.2359673538236753,43.945146005686624,1,7,199,14
95,8,10.0.0.180,10.0.0.231,232,19014,55,4322,783,1,6.989226340152322,3,TCP,39129,36197,5096,13.325006396079324,42.302061852475234,17.517927039819924,0,3,689,11
96,1,10.0.0.190,10.0.0.215,431,23282,200,3870,676,10,70.10801651327942,2,UDP,6676,30236,9534,22.40737117530263,46.99447298690906,96.47492820366669,0,2,383,10
97,9,10.0.0.7,10.0.0.210,474,21797,490,5000,582,6,48.67458950564417,5,UDP,30212,39372,23430,20.604220357074016,42.072581091305246,45.65396922468239,0,2,618,8
98,7,10.0.0.177,10.0.0.54,315,47758,356,917,627,3,38.37325711569206,2,ICMP,19759,45731,25453,20.16147445743324,48.326887799587716,29.090001805520362,0,5,937,14
99,6,10.0.0.255,10.0.0.204,169,39960,269,1011,114,1,79.540726766045,1,TCP,62496,3358,19931,34.29216186258614,7.708199077525205,74.33949239287011,1,1,279,16
100,8,10.0.0.254,10.0.0.67,54,14985,297,4739,420,6,15.985351274718312,4,TCP,41903,41075,13858,40.664790446448606,15.266298917738153,35.49548331600056,0,6,425,2
101,4,10.0.0.77,10.0.0.86,57,10987,228,4214,610,5,54.30445792921088,3,ICMP,53417,6886,44168,17.943149684628118,17.807971746845105,11.768864270354715,1,8,152,4
102,6,10.0.0.196,10.0.0.114,356,12332,366,3451,123,5,90.25182264259593,5,ICMP,42182,5606,12291,32.4361143935361,30.517782283368373,29.55319771945353,1,9,200,6
103,1,10.0.0.14,10.0.0.164,150,5063,334,4082,479,3,97.9739742203285,1,UDP,7343,11960,37218,32.37251665296681,34.29151505928605,53.15285581267422,1,0,926,2
104,1,10.0.0.174,10.0.0.60,60,40378,356,1334,388,4,53.46459752173739,3,UDP,32356,23358,27453,36.68856045762008,29.968352696782194,80.7936772894585,0,4,85,20
105,2,10.0.0.217,10.0.0.187,84,29260,89,1626,861,3,57.46287587840229,1,UDP,18823,16268,49128,38.15297894408095,1.6963906484584066,83.24836354703069,0,4,725,5
106,3,10.0.0.173,10.0.0.40,174,36370,293,1642,568,7,62.210225114012836,4,TCP,36468,8603,2946,8.663453827753541,11.824262191590007,71.17062127598386,1,2,946,7
107,4,10.0.0.87,10.0.0.142,473,39223,127,4283,313,5,48.97435509270556,4,UDP,28630,16140,20480,37.299047223964266,41.217903682297674,28.331444675701242,0,4,123,12
108,3,10.0.0.72,10.0.0.53,349,46380,283,4075,198,6,77.88383039075107,4,ICMP,52332,15376,43403,26.202138919713573,9.689207604209418,42.87002942918454,0,1,914,13
109,4,10.0.0.195,10.0.0.178,28,25532,296,1417,649,5,21.337158750567625,2,TCP,62294,49754,35256,20.245905020223407,28.858031707207218,30.612298256921385,1,0,478,6
110,6,10.0.0.90,10.0.0.135,182,11808,247,3691,294,9,31.97665152277953,4,UDP,13973,27020,13657,48.67561823643147,24.122713928504364,5.7076665055755464,0,9,784,15
111,5,10.0.0.221,10.0.0.46,341,43551,92,4047,669,10,72.11788455973264,3,UDP,27520,48150,42909,14.820805513517527,30.53537339560006,4.428514831335791,1,7,567,7
112,7,10.0.0.27,10.0.0.81,144,15352,490,4399,828,10,91.70156024228629,3,ICMP,53614,14215,16334,5.15348562505925,34.01145549535877,53.63435498953284,1,3,491,20
113,7,10.0.0.238,10.0.0.70,323,6488,440,3593,588,3,49.466959221418726,3,ICMP,54261,21261,22265,36.18069421382284,48.750169570602736,47.404194107011016,1,8,833,13
114,5,10.0.0.107,10.0.0.118,289,1626,93,2393,497,10,51.54481959865295,2,TCP,50832,21469,34664,29.320139932397336,38.942089392933276,58.33763417264076,1,0,583,2
115,6,10.0.0.83,10.0.0.237,125,26903,314,3076,402,2,48.67314851715817,1,ICMP,14561,9540,42608,1.7406629961421594,22.686813131168684,95.92124556665858,0,9,230,1
116,1,10.0.0.33,10.0.0.16,453,36099,76,4221,657,7,31.66817406362911,3,ICMP,27993,32138,39185,19.502802980948445,4.811323888265473,96.90362207277748,1,6,227,2
117,1,10.0.0.80,10.0.0.162,410,47755,454,1604,247,3,49.21412424403932,5,UDP,14034,11005,31610,46.93017315036076,22.517955637657767,76.8706651579914,0,3,536,11
118,7,10.0.0.11,10.0.0.171,126,30438,416,4529,249,4,45.16277616411981,3,TCP,33526,4801,19443,30.054335539033662,44.13861291760987,17.97480811962998,0,10,137,8
119,7,10.0.0.52,10.0.0.103,34,29052,241,2822,222,7,80.35695681602252,2,UDP,19173,1244,2646,12.430772121518105,44.65193688650973,77.32949236045333,1,1,498,9
120,4,10.0.0.130,10.0.0.237,224,12279,247,3658,118,10,15.205645745667526,5,ICMP,57252,11293,18589,49.75354829556436,25.656130853997446,96.9460871897377,0,8,953,8
121,5,10.0.0.83,10.0.0.6,25,27184,130,2697,277,8,19.26136669933225,3,TCP,58090,20039,27598,21.280849876823105,7.296582608117514,85.35430054071735,1,0,959,1
122,8,10.0.0.137,10.0.0.13,403,41434,155,1708,898,3,10.652674293384768,5,ICMP,45165,34068,28895,41.78423076072873,7.228872452394505,68.37415054827835,0,0,726,8
123,10,10.0.0.103,10.0.0.115,297,32807,393,2073,155,8,3.417501850629352,2,ICMP,3684,42182,15987,34.204736171662574,18.059977493663542,47.467039331073146,0,7,63,7
124,7,10.0.0.126,10.0.0.133,161,14191,341,1431,518,1,77.31231836016995,1,ICMP,30046,41222,7571,39.663220129555654,34.04729192191373,95.06550419983203,0,9,690,7
125,3,10.0.0.5,10.0.0.196,267,38098,424,234,665,8,49.5711069838932,2,UDP,40266,43014,10979,23.55549975603977,31.941919531149168,14.068685446928258,0,2,767,9
126,5,10.0.0.225,10.0.0.4,258,28878,472,1478,824,6,32.06144470819815,4,UDP,45959,40539,33593,13.143388770788523,46.35698423277702,6.408370852369746,0,4,823,1
127,5,10.0.0.137,10.0.0.3,83,34913,369,2236,843,6,84.83718953454346,2,ICMP,5093,49465,36525,32.35135937149042,20.660812946515037,74.605722696519,0,10,824,13
128,2,10.0.0.245,10.0.0.230,456,37180,264,410,456,1,13.333603601169873,2,TCP,65075,10577,35701,35.28416709180286,44.183463230881365,77.45264886534778,0,8,80,13
129,10,10.0.0.151,10.0.0.173,53,30817,108,1738,621,8,67.05647061131562,1,ICMP,59152,30748,37901,3.6152701291387115,24.059379181241844,9.845491791805866,1,2,890,11
130,2,10.0.0.233,10.0.0.161,355,16629,217,1067,513,10,91.26826764316338,4,UDP,47472,26304,32961,48.57588415249568,36.56865502984029,93.82066459390501,0,5,987,5
131,5,10.0.0.96,10.0.0.80,319,6907,155,890,641,7,27.50535680325474,4,UDP,54224,49270,35426,26.854504744321453,34.81924512778214,15.517153776997793,1,4,869,3
132,3,10.0.0.144,10.0.0.236,378,11478,482,1979,957,6,61.1366240065091,3,ICMP,36218,32491,35679,42.510687668286046,21.67989586223753,68.98695840188036,1,4,804,3
133,9,10.0.0.107,10.0.0.54,296,30783,266,357,647,4,40.825749341340035,5,ICMP,5645,37555,7163,49.744731197865896,21.212050866571584,73.99877047501786,1,0,371,2
134,8,10.0.0.46,10.0.0.160,179,33382,239,2053,679,8,17.40966636523145,1,ICMP,38674,27660,28300,48.86530164963625,7.594210801569816,41.87890094575971,0,3,258,11
135,5,10.0.0.50,10.0.0.251,454,17449,142,1376,486,6,29.35122737883175,3,UDP,8255,49725,25365,45.54036777197208,10.222175964159687,31.87461671398325,0,3,354,17
136,5,10.0.0.141,10.0.0.215,267,25437,350,2786,107,7,96.27055182189406,3,TCP,57547,27786,37715,46.660692909795024,39.9954820449354,47.825951453825624,1,0,159,6
137,8,10.0.0.214,10.0.0.39,170,15375,181,3720,578,4,16.459898797208766,4,UDP,41341,9959,48287,16.485053059001462,46.32626660863455,57.98188684380421,0,4,998,5
138,2,10.0.0.76,10.0.0.45,497,21459,66,3825,389,8,72.63845077653363,5,TCP,21014,35594,27422,6.183840601361675,46.02558584126297,4.265339781393989,1,8,831,17
139,10,10.0.0.232,10.0.0.30,17,36750,71,2262,964,7,66.55489898286253,2,UDP,33198,32115,38232,47.976451071837616,11.257348194016664,79.83605302977466,0,0,896,19
140,7,10.0.0.153,10.0.0.149,338,7809,120,1678,627,6,74.4999014457782,1,UDP,45701,42282,30079,9.440073327983049,21.392684397904198,67.44340317425991,0,1,962,8
141,7,10.0.0.84,10.0.0.31,341,33925,498,3910,952,7,75.97677907125258,2,ICMP,58044,38176,9489,34.56565017209253,21.590980349844866,77.45294780602696,1,9,362,14
142,6,10.0.0.97,10.0.0.91,201,17668,431,413,996,2,40.98494112558116,2,UDP,1418,39451,17792,47.807442001686326,13.989580920547773,47.67740626797925,0,3,353,8
143,10,10.0.0.215,10.0.0.81,261,30024,451,4143,213,6,10.4249028534536,3,UDP,34003,28363,3954,15.487395195415885,8.945351994223612,6.1210518335885915,1,10,564,6
144,5,10.0.0.99,10.0.0.4,446,2696,160,4699,927,6,25.53330459708724,3,TCP,23489,28358,14618,48.09809351499305,40.411265881474925,3.7912204767518216,0,9,268,2
145,10,10.0.0.215,10.0.0.81,87,15780,322,867,966,6,93.20254968299687,3,TCP,24763,44802,29095,29.03952330724026,16.9847236585924,91.7099380204144,0,3,905,17
146,6,10.0.0.120,10.0.0.230,256,1758,104,1361,529,10,8.316218481850616,1,UDP,51259,6071,4031,13.882659124092696,5.927022158783523,84.67437041299596,0,0,805,10
147,1,10.0.0.22,10.0.0.114,105,13514,345,3703,704,6,69.84927245815791,1,UDP,57979,36860,25479,11.023603955342246,45.60929301155013,42.99236239512712,0,1,353,8
148,10,10.0.0.113,10.0.0.245,32,8662,204,4194,789,4,12.845814918541809,3,ICMP,58379,38914,13805,48.73078029577962,24.9484659852759,44.018152453747454,1,6,140,4
149,4,10.0.0.207,10.0.0.177,288,13148,107,4331,175,7,57.70598193222352,1,TCP,64381,44272,31288,13.143267619461211,9.532857405943924,80.04643590386213,0,9,248,14
150,2,10.0.0.238,10.0.0.221,281,25133,374,2250,762,4,24.2057008138964,2,TCP,35300,41062,45188,25.196172467783793,25.191629268181106,31.677891502378326,0,0,186,17
151,4,10.0.0.87,10.0.0.250,379,17542,331,1630,172,10,26.277642995736745,3,ICMP,27935,25342,47741,7.333646284950376,27.99867195551293,31.804134308520155,1,6,924,9
152,10,10.0.0.195,10.0.0.78,189,15479,467,2400,714,9,94.15665711601002,5,UDP,61095,38568,11447,40.98636907790259,40.71384378532693,98.51392001682142,1,1,151,10
153,5,10.0.0.229,10.0.0.84,379,49277,457,3212,577,3,80.50060548913815,2,TCP,55678,32818,28525,35.98852257593815,35.75407533017735,78.39014216812546,0,6,958,17
